, Jesse Owens Recreation Center South, Ohio State University Adventure Recreation Center, Morrill Tower, Drackett Tower, Fisher Hall, The City Apartment, Essex Apartment, Thompson Library, 18th Avenue Library, Jennings Hall, Ohio Union, Easton Town Center, John Glenn Columbus International Airport, Target(1717 Olentangy River Rd)
Jesse Owens Recreation Center South, 0, 6, 4, 6, 5, 8, 6, 3, 6, 2, 1, 17, 12, 6
Ohio State University Adventure Recreation Center, 4, 0, 5, 3, 4, 8, 6, 2, 6, 3, 3, 20, 15, 7
Morrill Tower, 5, 5, 0, 4, 3, 6, 6, 5, 6, 3, 5, 18, 12, 5
Drackett Tower, 5, 2, 5, 0, 1, 7, 6, 4, 5, 5, 5, 20, 14, 6
Fisher Hall, 4, 2, 4, 1, 0, 7, 7, 4, 5, 5, 6, 19, 14, 6
The City Apartment, 9, 6, 8, 8, 7, 0, 6, 9, 10, 7, 9, 18, 14, 8
Essex Apartment, 6, 6, 6, 6, 7, 6, 0, 7, 10, 5, 8, 19, 14, 4
Thompson Library, 3, 2, 5, 4, 4, 9, 7, 0, 5, 5, 3, 18, 14, 7
18th Avenue Library, 6, 6, 6, 5, 5, 10, 10, 5, 0, 6, 4, 21, 16, 8
Jennings Hall, 2, 3, 3, 5, 5, 7, 5, 5, 6, 0, 2, 17, 12, 5
Ohio Union, 1, 3, 5, 5, 6, 9, 8, 3, 4, 2, 0, 18, 12, 7
Easton Town Center, 17, 20, 18, 20, 19, 18, 19, 18, 21, 17, 18, 0, 10, 18
John Glenn Columbus International Airport, 12, 15, 12, 14, 14, 14, 14, 14, 16, 12, 12, 10, 0, 15
Target(1717 Olentangy River Rd), 6, 7, 5, 6, 6, 8, 4, 7, 8, 5, 7, 18, 15, 0
